caseid,midprice
1,3.637551586
2,3.234600171
3,3.887779223
4,3.179663026
5,3.946794436
6,3.772465967
7,3.015998146
8,3.407536971
9,3.570079161
10,3.069304418
11,3.713980365
12,3.931317592
13,3.942752586
14,3.074977841
15,3.462305806
16,3.403461387
17,3.796166831
18,3.543069884
19,3.267198709
20,3.859497838
21,3.503957116
22,3.451040404
23,3.724861773
24,3.876349955
25,3.083127552
26,3.756500597
27,3.618728695
28,3.232163685
29,3.188912611
30,3.992791223
31,3.424058001
32,3.428843141
33,3.669107056
34,3.157967358
35,3.019519472
36,3.84296503
37,3.373279595
38,3.712484229
39,3.202965595
40,3.848077753
41,3.988262249
42,3.739690836
43,3.5062772
44,3.989128877
45,3.447331571
46,3.074709304
47,3.235718882
48,3.009314787
49,3.400286985
50,3.060718787
51,3.801886759
52,3.774843977
53,3.046190256
54,3.985545241
55,3.366300845
56,3.235293728
57,3.418074325
58,3.737849129
59,3.378143027
60,3.129822049
61,3.340388069
62,3.071601161
63,3.725998466
64,3.884332026
65,3.987753584
66,3.29004036
67,3.33655225
68,3.857792786
69,3.886586183
70,3.19886903
71,3.191624309
72,3.586884256
73,3.373911979
74,3.072607505
75,3.88103485
76,3.898219084
77,3.285618664
78,3.410180839
79,3.979199719
80,3.984549765
81,3.537715767
82,3.934373068
83,3.503538752
84,3.240302711
85,3.439708863
86,3.63808575
87,3.350115942
88,3.53124112
89,3.809739669
90,3.039434255
91,3.741660226
92,3.738382227
93,3.770659739
94,3.093346409
95,3.253875607
96,3.101398911
97,3.237425045
98,3.42012506
99,3.664435941
100,3.013388009
